Date,NIFTY_50,NIFTY_FIN_SERVICES,NIFTY_AUTO
2019-06-11,11965.599609375,13488.7001953125,8240.25
2019-06-12,11906.2001953125,13362.5498046875,8146.9501953125
2019-06-13,11914.0498046875,13482.0498046875,8116.9501953125
2019-06-14,11823.2998046875,13369.099609375,8031.60009765625
2019-06-17,11672.150390625,13215.5498046875,7896.10009765625
2019-06-18,11691.5,13229.849609375,7859.35009765625
2019-06-19,11691.4501953125,13274.599609375,7772.2001953125
2019-06-20,11831.75,13437.9501953125,7965.4501953125
2019-06-21,11724.099609375,13323.2998046875,7868.25
2019-06-24,11699.650390625,13308.7998046875,7832.2998046875
2019-06-25,11796.4501953125,13419.650390625,7878.25
2019-06-26,11847.5498046875,13531.75,7883.5498046875
2019-06-27,11841.5498046875,13595.25,7971.4501953125
2019-06-28,11788.849609375,13556.400390625,7928.0498046875
2019-07-01,11865.599609375,13695.7001953125,8029.14990234375
2019-07-02,11910.2998046875,13742.75,8045.64990234375
2019-07-03,11916.75,13764.099609375,8039.5
2019-07-04,11946.75,13804.0,8077.2001953125
2019-07-05,11811.150390625,13798.599609375,7849.10009765625
2019-07-08,11558.599609375,13398.4501953125,7593.2998046875
2019-07-09,11555.900390625,13368.7998046875,7593.2998046875
2019-07-10,11498.900390625,13314.349609375,7511.14990234375
2019-07-11,11582.900390625,13404.9501953125,7650.9501953125
2019-07-12,11552.5,13365.9501953125,7653.64990234375
2019-07-15,11588.349609375,13362.9501953125,7674.25
2019-07-16,11662.599609375,13422.9501953125,7727.10009765625
2019-07-17,11687.5,13485.2998046875,7648.14990234375
2019-07-18,11596.900390625,13500.2001953125,7438.7001953125
2019-07-19,11419.25,13234.400390625,7192.75
2019-07-22,11346.2001953125,12897.0,7220.25
2019-07-23,11331.0498046875,12804.0,7176.64990234375
2019-07-24,11271.2998046875,12785.650390625,7036.7001953125
2019-07-25,11252.150390625,12805.2001953125,7010.5498046875
2019-07-26,11284.2998046875,12880.0498046875,7161.5
2019-07-29,11189.2001953125,12827.25,6905.7001953125
2019-07-30,11085.400390625,12714.099609375,6763.75
2019-07-31,11118.0,12707.2998046875,6851.64990234375
2019-08-01,10980.0,12494.099609375,6856.10009765625
2019-08-02,10997.349609375,12500.5,6933.75
2019-08-05,10862.599609375,12329.5498046875,6844.60009765625
2019-08-06,10948.25,12521.349609375,6942.4501953125
2019-08-07,10855.5,12411.650390625,6792.60009765625
2019-08-08,11032.4501953125,12581.2001953125,6998.4501953125
2019-08-09,11109.650390625,12774.849609375,7137.39990234375
2019-08-13,10925.849609375,12394.0,6855.75
2019-08-14,11029.400390625,12509.599609375,6919.0498046875
2019-08-16,11047.7998046875,12543.7001953125,6998.4501953125
2019-08-19,11053.900390625,12532.400390625,6959.14990234375
